District Name,Block Name,Gram Panchayat Name
Ajmer,Kekri,Kadera
Ajmer,Kekri,Kalera Krishna Gopal
Ajmer,Kekri,Kanoj
Ajmer,Kekri,Khawas
Ajmer,Kekri,Kohada
Ajmer,Kekri,Lallai
Ajmer,Kekri,Lasadiya
Ajmer,Kekri,Mankhand
Ajmer,Kekri,Meoda Kalan
Ajmer,Kekri,Molkiya
Ajmer,Kekri,Naiki
Ajmer,Kekri,Nimod
Ajmer,Kekri,Pranheda
Ajmer,Kekri,Rampali
Ajmer,Kekri,Salari
Ajmer,Kekri,Sarsari
Ajmer,Pisangan,Alipura
Ajmer,Pisangan,Bhagwanpura
Ajmer,Pisangan,Bhatsoori
Ajmer,Pisangan,Bidkachiyawas
Ajmer,Pisangan,Budhwara
Ajmer,Pisangan,Dantra
Ajmer,Pisangan,Dodiyana
Ajmer,Pisangan,Gola
Ajmer,Pisangan,Govindgarh
Ajmer,Pisangan,Jaswantpura
Ajmer,Pisangan,Jethana
Ajmer,Pisangan,Kalesara
Ajmer,Pisangan,Karnos
Ajmer,Pisangan,Kesarpura Mewariya
Ajmer,Pisangan,Kesharpura
Ajmer,Pisangan,Lamana
Ajmer,Pisangan,Leeri
Ajmer,Pisangan,Makrera
Ajmer,Pisangan,Mangaliyawas
Ajmer,Pisangan,Nagelao
Ajmer,Pisangan,Pagara
Ajmer,Pisangan,Peesangan
Ajmer,Pisangan,Picholiya
Ajmer,Pisangan,Rampura Dabla
Ajmer,Sarwar,Arwar
Ajmer,Sarwar,Bhagwanpura
Ajmer,Sarwar,Bhatolao
Ajmer,Sarwar,Birla
Ajmer,Sarwar,Chandma
Ajmer,Sarwar,Fatehgarh
Ajmer,Sarwar,Gopalpura
Ajmer,Sarwar,Goyla
Ajmer,Sarwar,Harpura
Ajmer,Sarwar,Hingoniyan
Ajmer,Sarwar,Jadana
Ajmer,Sarwar,Jotayan
Ajmer,Sarwar,Kalyanpura
Ajmer,Sarwar,Kebaniya
Ajmer,Sarwar,Kheeriya
Ajmer,Sarwar,Sadapur
Ajmer,Sarwar,Sapla
Ajmer,Sarwar,Sarana
Ajmer,Sarwar,Satolao
Ajmer,Sarwar,Shergarh
Ajmer,Sarwar,Shokaliya
Ajmer,Sarwar,Soonpa
Ajmer,Sarwar,Sunariya
Ajmer,Sarwar,Syar
Ajmer,Sarwar,Tajpura
Ajmer,Sarwar,Tantoti
Ajmer,Sawar,Aloli
Ajmer,Sawar,Amali
Ajmer,Sawar,Bajta
Ajmer,Sawar,Barh Ka Jhopra
Ajmer,Sawar,Bhandawas
Ajmer,Sawar,Cheetiwas
Ajmer,Sawar,Dhoondhari
Ajmer,Sawar,Ghatiyali
Ajmer,Sawar,Girwarpura
Ajmer,Sawar,Gordha
Ajmer,Sawar,Gulgaon
